title,category,categories,address,phone,web_site,emails,review_rating,review_count,reviews_per_rating,open_hours,latitude,longtitude,place_id,cid,link,description
Jake Stewart - State Farm Insurance Agent,Insurance agency,"[""Insurance agency"", ""Auto insurance agency"", ""Home insurance agency"", ""Insurance agent"", ""Life insurance agency"", ""Motorcycle insurance agency"", ""Renter's insurance agency""]","490 Post St Suite 1606, San Francisco, CA 94102, United States",+1 415-982-9033,https://www.jakestewart.com/,,4.9,614,"{""1"": 4, ""2"": 1, ""3"": 1, ""4"": 12, ""5"": 596}","{""Friday"": [""9 AM–5 PM""], ""Monday"": [""9 AM–5 PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""], ""Thursday"": [""9 AM–5 PM""], ""Tuesday"": [""9 AM–5 PM""], ""Wednesday"": [""9 AM–5 PM""]}",37.7882579,-122.40981339999999,ChIJgxIYp4CAhYARnats7DIbb2w,7813493784039959453,https://www.google.com/maps/place/Jake+Stewart+-+State+Farm+Insurance+Agent/data=!4m7!3m6!1s0x80858080a7181283:0x6c6f1b32ec6cab9d!8m2!3d37.7882579!4d-122.4098134!16s%2Fg%2F1tfvhflm!19sChIJgxIYp4CAhYARnats7DIbb2w?authuser=0&hl=en&rclk=1,
The Greenspan Co. / Adjusters International - Public Adjuster,Loss adjuster,"[""Loss adjuster"", ""Consultant"", ""Small claims assistance service""]","400 Oyster Point Blvd # 519, South San Francisco, CA 94080, United States",+1 650-583-4300,https://www.greenspanai.com/contact/office-locations/san-francisco-california/,"[""info@greenspan-ai.com""]",4.3,12,"{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 0, ""5"": 9}","{""Friday"": [""Open 24 hours""], ""Monday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""]}",37.6655539,-122.3824533,ChIJsQAwjV54j4ARWmnF8HqrMZc,10894677518099769690,https://www.google.com/maps/place/The+Greenspan+Co.+%2F+Adjusters+International+-+Public+Adjuster/data=!4m7!3m6!1s0x808f785e8d3000b1:0x9731ab7af0c5695a!8m2!3d37.665554!4d-122.382453!16s%2Fg%2F1tfb6t0g!19sChIJsQAwjV54j4ARWmnF8HqrMZc?authuser=0&hl=en&rclk=1,
Jessica Liu Insurance Services,Insurance agency,"[""Insurance agency"", ""Auto insurance agency"", ""Home insurance agency"", ""Life insurance agency""]","3428 Balboa St, San Francisco, CA 94121, United States",+1 415-386-2283,https://jlis.com/?utm_source=gbp&utm_medium=organic,,5,169,"{""1"": 1, ""2"": 0, ""3"": 0, ""4"": 2, ""5"": 166}","{""Friday"": [""9 AM–5:30 PM""], ""Monday"": [""9 AM–5:30 PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""], ""Thursday"": [""9 AM–5:30 PM""], ""Tuesday"": [""9 AM–5:30 PM""], ""Wednesday"": [""9 AM–5:30 PM""]}",37.7760764,-122.4957649,ChIJHaoPR6aHhYARGRBVuZLfKyg,2894653006783254553,https://www.google.com/maps/place/Jessica+Liu+Insurance+Services/data=!4m7!3m6!1s0x808587a6470faa1d:0x282bdf92b9551019!8m2!3d37.7760764!4d-122.4957649!16s%2Fg%2F1tf_199r!19sChIJHaoPR6aHhYARGRBVuZLfKyg?authuser=0&hl=en&rclk=1,
ESI Insurance Brokers,Insurance agency,"[""Insurance agency"", ""Auto insurance agency"", ""Home insurance agency"", ""Income protection insurance agency"", ""Insurance broker"", ""Life insurance agency"", ""Motorcycle insurance agency"", ""Renter's insurance agency""]","2085 Van Ness Ave, San Francisco, CA 94109, United States",+1 415-440-5136,http://www.insurance415.com/,,4.9,35,"{""1"": 1, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 34}","{""Friday"": [""9 AM–5 PM""], ""Monday"": [""9 AM–5 PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""], ""Thursday"": [""9 AM–5 PM""], ""Tuesday"": [""9 AM–5 PM""], ""Wednesday"": [""9 AM–5 PM""]}",37.7944615,-122.42379079999999,ChIJgURZHeqAhYARb2NpnyiBGs8,14923382326718718831,https://www.google.com/maps/place/ESI+Insurance+Brokers/data=!4m7!3m6!1s0x808580ea1d594481:0xcf1a81289f69636f!8m2!3d37.7944615!4d-122.4237908!16s%2Fg%2F1tddb20l!19sChIJgURZHeqAhYARb2NpnyiBGs8?authuser=0&hl=en&rclk=1,
Broad Spectrum Insurance Services,Insurance broker,"[""Insurance broker"", ""Commercial agent"", ""Insurance agency""]","1000 Brannan St #205, San Francisco, CA 94103, United States",+1 888-898-6999,https://www.broadspectruminsurance.com/,"[""info@calinsurancepro.com""]",5,75,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 75}","{""Friday"": [""8 AM–5:30 PM""], ""Monday"": [""8 AM–5:30 PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""], ""Thursday"": [""8 AM–5:30 PM""], ""Tuesday"": [""8 AM–5:30 PM""], ""Wednesday"": [""8 AM–5:30 PM""]}",37.7700244,-122.4074737,ChIJk4CAoy5-j4ARL_CGC2N0Jgg,587284770162405423,https://www.google.com/maps/place/Broad+Spectrum+Insurance+Services/data=!4m7!3m6!1s0x808f7e2ea3808093:0x82674630b86f02f!8m2!3d37.7700244!4d-122.4074737!16s%2Fg%2F1trc55n_!19sChIJk4CAoy5-j4ARL_CGC2N0Jgg?authuser=0&hl=en&rclk=1,
Riskguard Insurance Solutions,Insurance agency,"[""Insurance agency"", ""Auto insurance agency"", ""Commercial agent"", ""Health insurance agency"", ""Home insurance agency"", ""Motorcycle insurance agency"", ""Renter's insurance agency""]","422 Presidio Ave, San Francisco, CA 94115, United States",+1 415-447-4212,http://www.riskguardins.com/,"[""user@domain.com"", ""office@riskguardins.com""]",4.7,28,"{""1"": 2, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 26}","{""Friday"": [""9 AM–4:30 PM""], ""Monday"": [""9 AM–5 PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""], ""Thursday"": [""9 AM–5 PM""], ""Tuesday"": [""9 AM–5 PM""], ""Wednesday"": [""9 AM–5 PM""]}",37.787895999999996,-122.44679099999999,ChIJN5PQzsqAhYARcRH8bOOMpCo,3072735754187444593,https://www.google.com/maps/place/Riskguard+Insurance+Solutions/data=!4m7!3m6!1s0x808580caced09337:0x2aa48ce36cfc1171!8m2!3d37.787896!4d-122.446791!16s%2Fg%2F113djlfsh!19sChIJN5PQzsqAhYARcRH8bOOMpCo?authuser=0&hl=en&rclk=1,
"Donald Browne Insurance Services, formerly, John A Morton Insurance Agency",Auto insurance agency,"[""Auto insurance agency""]","3366 22nd St, San Francisco, CA 94110, United States",+1 408-292-4329,https://www.browneinsurance.com/,"[""chosen-sprite@2x.png""]",4.8,79,"{""1"": 3, ""2"": 0, ""3"": 0, ""4"": 2, ""5"": 74}","{""Friday"": [""9 AM–5 PM""], ""Monday"": [""9 AM–5 PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""], ""Thursday"": [""9 AM–5 PM""], ""Tuesday"": [""9 AM–5 PM""], ""Wednesday"": [""9 AM–5 PM""]}",37.755373999999996,-122.4224438,ChIJ8xsMRz5-j4AR6gf3DFknKaA,11540798783536695274,"https://www.google.com/maps/place/Donald+Browne+Insurance+Services,+formerly,+John+A+Morton+Insurance+Agency/data=!4m7!3m6!1s0x808f7e3e470c1bf3:0xa02927590cf707ea!8m2!3d37.755374!4d-122.4224438!16s%2Fg%2F1tgpn7xz!19sChIJ8xsMRz5-j4AR6gf3DFknKaA?authuser=0&hl=en&rclk=1",
Robert E. Kennedy Insurance Agency,Insurance agency,"[""Insurance agency"", ""Auto insurance agency""]","2269 Chestnut St #301, San Francisco, CA 94123, United States",+1 415-951-0738,http://www.kennedyinsuranceagency.com/,,4.9,38,"{""1"": 1, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 37}","{""Friday"": [""9 AM–5 PM""], ""Monday"": [""9 AM–5 PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""], ""Thursday"": [""9 AM–5 PM""], ""Tuesday"": [""9 AM–5 PM""], ""Wednesday"": [""9 AM–5 PM""]}",37.7998768,-122.44069689999999,ChIJf9NEmoiAhYARrqrDaSsZflE,5872158638386424494,https://www.google.com/maps/place/Robert+E.+Kennedy+Insurance+Agency/data=!4m7!3m6!1s0x808580889a44d37f:0x517e192b69c3aaae!8m2!3d37.7998768!4d-122.4406969!16s%2Fg%2F1tjpqqt8!19sChIJf9NEmoiAhYARrqrDaSsZflE?authuser=0&hl=en&rclk=1,
Wang Insurance,Insurance agency,"[""Insurance agency""]","2620 Judah St, San Francisco, CA 94122, United States",+1 415-731-7062,http://www.wangins.com/,"[""info@wangins.com"", ""user@domain.com"", ""jane@company.com""]",5,23,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 23}","{""Friday"": [""9 AM–5 PM""], ""Monday"": [""9 AM–5 PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""], ""Thursday"": [""9 AM–5 PM""], ""Tuesday"": [""9 AM–5 PM""], ""Wednesday"": [""9 AM–5 PM""]}",37.761273599999996,-122.4902486,ChIJKz2hvneHhYARFNtR3ogxz7U,13100744304959281940,https://www.google.com/maps/place/Wang+Insurance/data=!4m7!3m6!1s0x80858777bea13d2b:0xb5cf3188de51db14!8m2!3d37.7612736!4d-122.4902486!16s%2Fg%2F1tdvdtdj!19sChIJKz2hvneHhYARFNtR3ogxz7U?authuser=0&hl=en&rclk=1,
Traci Hollander - State Farm Insurance Agent,Insurance agency,"[""Insurance agency"", ""Auto insurance agency"", ""Life insurance agency""]","556 Castro St, San Francisco, CA 94114, United States",+1 415-575-3775,https://www.tracihollander.com/?cmpid=JW8N_blm_0001,,4.9,547,"{""1"": 9, ""2"": 0, ""3"": 0, ""4"": 2, ""5"": 536}","{""Friday"": [""9 AM–5 PM""], ""Monday"": [""9 AM–5 PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""], ""Thursday"": [""9 AM–5 PM""], ""Tuesday"": [""9 AM–5 PM""], ""Wednesday"": [""9 AM–5 PM""]}",37.759972,-122.435127,ChIJmSzF1Rp-j4ARaEXj6I7tXXY,8529234467357934952,https://www.google.com/maps/place/Traci+Hollander+-+State+Farm+Insurance+Agent/data=!4m7!3m6!1s0x808f7e1ad5c52c99:0x765ded8ee8e34568!8m2!3d37.759972!4d-122.435127!16s%2Fg%2F1tvdk0fp!19sChIJmSzF1Rp-j4ARaEXj6I7tXXY?authuser=0&hl=en&rclk=1,
