tier,quality_score,metro,title,best_email,all_emails,email_sources,phone,website,address,google_maps_link,socials_facebook,socials_instagram,socials_linkedin,socials_yelp,socials_tiktok,socials_youtube,owner_name,owner_title,owner_linkedin,additional_team,pocs,top_pain_category,pain_breadth_count,pain_quote_1,pain_quote_2,pain_quote_1_rating,pain_quote_2_rating,recommended_service,recommended_service_url,all_pain_categories,all_recommended_services,crawl_status,research_note,review_count,rating,negative_reviews_1_3_star,reviews_analyzed,website_raw,google_maps_link_raw,website_redirect_target_raw,is_chain_or_dso,chain_reason,website_redirect_mismatch,website_redirect_target,emails_invalid_count,crawled_emails_suspect,phone_invalid,phone_invalid_reason
A,233.53,san francisco,Demandforce,,,,+1 800-246-9853,https://www.demandforce.com,"222 Kearny St Suite 400, San Francisco, CA 94108, United States",https://www.google.com/maps/place/Demandforce/data=!4m7!3m6!1s0x808580863b580221:0x12f7e23eb04d3a1!8m2!3d37.7902093!4d-122.4034991!16s%2Fg%2F1tdylfj_!19sChIJIQJYO4aAhYARodME6yN-LwE,,,,,,,,,,,,calls_unanswered,8,We worked with Demand Force for 11 years with minimal results. The platform is average. It may work great for doctors but as an auto shop it's not built for us. But the worst experience was trying to cancel our subscription. I had to call them and then they insisted that I speak with my account manager. In 11 years I have never heard from an account manager. I didn't know we had one and now they insist I talk to them when I want to cancel. The account manager informed me that I am 1 day past the cancellation date window so I will have to pay for another month. It was bad enough I was given the runaround and had to talk to several people to cancel. They wasted my valuable time. And then had the nerve to squeeze another payment from me. Just beware the customer service is subpar here.,"My experience with this company is mixed. I have been in business for over 20 years. I was previously with Customer Link and I am going back to them for these services. They have a month to month arrangement with which I am more comfortable. It keeps them accountable. When I signed up with Demand Force, they made specific promises about posting reviews and mailing post cards which they have not kept. The customer service experience is abysmal. The guarantee is worthless. The contract is problematic. The promises made to me were broken. I have been a Demand Force customer for three years and finally got out my onerous contract- which is like one of those Mafia uniform company eternal renewal contracts. They managed to screw me again by denying me access to my information on the last day of service which I've paid for. Think twice about these guys and read the one star reviews. You've been warned.  By the way I wrote this while waiting for a call back- which in my experience with Demand Force may never come. Why would they turn off my service when I have paid for the month?",2,2,Ezly — AI Communication Assistant (never miss a reply),getezly.com/home,billing_or_intake_errors;calls_unanswered;deadline_missed;delivery_quality;followup_dropped;frontline_communication;hidden_subcontracting;scope_drift,,no_email_found,,439,4.5,52,418,https://www.demandforce.com/,https://www.google.com/maps/place/Demandforce/data=!4m7!3m6!1s0x808580863b580221:0x12f7e23eb04d3a1!8m2!3d37.7902093!4d-122.4034991!16s%2Fg%2F1tdylfj_!19sChIJIQJYO4aAhYARodME6yN-LwE?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,TRUE,metro_mismatch
B,43.39,san francisco,Victorious SEO,sales@victorious.com,sales@victorious.com;info@victorious.com,gosom_scraper;agent_browser_crawl,+1 415-621-9830,https://victorious.com,"548 Market St #41895, San Francisco, CA 94104, United States",https://www.google.com/maps/place/Victorious+SEO/data=!4m7!3m6!1s0x8085808455010a01:0x9cf7ea98ce012c4e!8m2!3d37.7804308!4d-122.3995214!16s%2Fg%2F11c61bbsgp!19sChIJAQoBVYSAhYARTiwBzpjq95w,https://www.facebook.com/wearevictorious/,https://www.instagram.com/victorious_seo/,https://www.linkedin.com/company/victorious-seo/about/,,,,Michael Transon,Founder & CEO,https://www.linkedin.com/in/michaeltranson/,,Jason White,frontline_communication,6,"We spent over $100k with Victorious for 6+ months and got shockingly little in return. After an impressive intro call, communication collapsed — just 4 meetings, 20 emails, and 67 chat messages the entire time (even after I complained 3 months in). Deliverables? 82 backlinks, 13 copy docs, 9 technical docs — that’s it, for $100k. Project management was disorganized, planning was poor, and the value simply wasn’t there. A complete disappointment.","Victorious SEO has effectively destroyed our company’s web traffic with advice that was contrary to the realities of Google and its parameters. What’s worse, after calling them out on it they blatantly denied it any wrong doing, hid behind corporate talk, and now after all of that DEBITED AN ADDITIONAL PAYMENT AFTER THE END OF CONTRACT!!! AND NOBODY THERE CARES OR RUSHES TO FIX THE PROBLEMS THEY CREATE. We will never recommend their services to anyone.",1,1,Ezly — AI Communication Assistant (tone + personalization),getezly.com/home,billing_or_intake_errors;booking_friction;calls_unanswered;delivery_quality;followup_dropped;frontline_communication,,ok,,73,4.7,5,66,https://victorious.com/,https://www.google.com/maps/place/Victorious+SEO/data=!4m7!3m6!1s0x8085808455010a01:0x9cf7ea98ce012c4e!8m2!3d37.7804308!4d-122.3995214!16s%2Fg%2F11c61bbsgp!19sChIJAQoBVYSAhYARTiwBzpjq95w?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,1,FALSE,FALSE,
B,30.16,san francisco,San Francisco Online Marketing - SFOM,info@sfomarketing.com,info@sfomarketing.com,agent_browser_crawl,+1 415-360-6199,https://www.sfomarketing.com,"415 Mission St #37-132, San Francisco, CA 94105, United States",https://www.google.com/maps/place/San+Francisco+Online+Marketing+-+SFOM/data=!4m7!3m6!1s0x808580bf16fe8fd5:0x4a7cb6565be44e12!8m2!3d37.7897965!4d-122.3969499!16s%2Fg%2F1ptyfcs2n!19sChIJ1Y_-Fr-AhYAREk7kW1a2fEo,https://www.facebook.com/sanfrancsicoonlinemarketing/,https://www.instagram.com/sanfranciscoonlinemarketing/,https://www.linkedin.com/company/san-francisco-online-marketing/,,,,John Nashed,Co-Founder / Partner,https://www.linkedin.com/in/jnashed/,,,frontline_communication,4,"I have been advertising with SFOM Marketing for over 10 years, investing a significant amount of money into my PPC account. Unfortunately, my experience has been nothing short of disappointing
When I decided to part ways with them, they initially refused to give me access to my PPC account, which contains crucial historical data about my keywords, company optimizations, and funding. This lack of access has negatively impacted my business ranking, which I had maintained for years thanks to my investment.
While they eventually returned my Google My Business profiles after a lengthy struggle, they still withheld my PPC account. Their refusal to address my questions about advertising strategies, growth, and Al has shown a lack of accountability. It feels like they operate with a ""do no wrong"" attitude and are unwilling to engage in constructive dialogue.
Furthermore, they have become increasingly greedy, charging for services that should be included in their management. For instance, despite paying a third party for website development, they refused to optimize my new site without additional charges. They also charged for Yelp ad management but provided no value--anyone can create a Yelp business account directly. The same goes for Local Service Ads; they charged me an additional 20% for something I could easily do myself.
If you're considering advertising with SFOM Marketing, I strongly advise ensuring you maintain full control of your business assets. My experience has been fraught with challenges and frustration, and I regret the years I spent with them.",We were once a customer and them asked  to change our local listing back.. We never received a response back  or any communication.. Very disapointed in the service,1,1,Ezly — AI Communication Assistant (tone + personalization),getezly.com/home,calls_unanswered;followup_dropped;frontline_communication;scope_drift,,ok,,113,4.9,2,90,https://www.sfomarketing.com/,https://www.google.com/maps/place/San+Francisco+Online+Marketing+-+SFOM/data=!4m7!3m6!1s0x808580bf16fe8fd5:0x4a7cb6565be44e12!8m2!3d37.7897965!4d-122.3969499!16s%2Fg%2F1ptyfcs2n!19sChIJ1Y_-Fr-AhYAREk7kW1a2fEo?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
C,26.54,san francisco,Voco Design,hi@vocodesign.com,hi@vocodesign.com,gosom_scraper,+1 818-850-5836,https://www.vocodesign.com,"2055 California St #204, San Francisco, CA 94109, United States",https://www.google.com/maps/place/Voco+Design/data=!4m7!3m6!1s0x808580c0968e7bab:0xac5df1028080f315!8m2!3d37.7893555!4d-122.4281221!16s%2Fg%2F1thnn_m3!19sChIJq3uOlsCAhYARFfOAgALxXaw,https://www.facebook.com/vocodesign,https://www.instagram.com/vocodesign/,https://www.linkedin.com/company/voco-design-and-marketing,https://www.yelp.com/biz/voco-design-and-marketing-san-francisco,,https://www.youtube.com/channel/UCYrvADD9EdhPP8YEoyHiB4g,,,,,,calls_unanswered,3,"Quick summary - responsive until they received my full payment, then no progress after 1 full year.

As a small business in San Francisco, we wanted an updated web site just for company info and pictures. Jason had quoted a quick turnaround - 2 weeks for a logo re-design and a total of 6 weeks for the web site to go live.

1/31/2023 - received a quote from Jason at Voco Design
2/1/2023 - I accepted the quote and paid my 50% deposit
2/9/2023 - logo re-design delivered and accepted
3/8/2023 - web site mock ups delivered and accepted
4/12/2023 - invoiced for remaining 50% and paid it

The following steps is when everything broke down
Between May and June of 2023, either myself or Jason was out of town/country, so we could not finalize.

8/2/2023 - Jason requested access to my web hosting server to start uploading. I have not seen any changes to my web site at all.

Since then, I have not been able to get a commitment from Jason or his team. Jason has sent me messages saying he was out of town, medical emergencies, etc which I can totally understand and was willing to wait for him.  I had called his office and Tom had responded to look into it, but I have now been ignored by Tom as well.

As of 2/1/2024 (one year later!!), I have sent an email to Jason and Tom to just close the project. They can refund me some portion of my 100% paid job, but they have not responded. I have changed the password to my web hosting as a precaution.

I am willing to call this a loss and mark it as a lesson learned working with design companies. Maybe my company was too small for them, but seems my money was good enough for them","We started working with Jason Phegley summer of 2022 to redesign our non-profit website.  The contract promised two weeks turn around, however, December 31st came and we had nothing to show our stake holders.  This was even after we sent timely payments.  We have been trying to get our money back since Voco Design did not delivered anything and no one is responding to our messages.  This is definitely not a trustworthy business who takes advantage of small non-profit like ours.",1,1,Ezly — AI Communication Assistant (never miss a reply),getezly.com/home,calls_unanswered;deadline_missed;delivery_quality,,ok,,38,4.7,3,36,https://www.vocodesign.com/,https://www.google.com/maps/place/Voco+Design/data=!4m7!3m6!1s0x808580c0968e7bab:0xac5df1028080f315!8m2!3d37.7893555!4d-122.4281221!16s%2Fg%2F1thnn_m3!19sChIJq3uOlsCAhYARFfOAgALxXaw?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,TRUE,metro_mismatch
C,22.6,san francisco,Software Development Company San Francisco - Simform,,,,+1 312-348-6980,https://www.simform.com/software-development-san-francisco,"388 Market St #1300, San Francisco, CA 94111, United States",https://www.google.com/maps/place/Software+Development+Company+San+Francisco+-+Simform/data=!4m7!3m6!1s0x8085810e079939b9:0xf67a41f234506f06!8m2!3d37.7922754!4d-122.3981949!16s%2Fg%2F11fn40jvjt!19sChIJuTmZBw6BhYARBm9QNPJBevY,https://www.facebook.com/simform/,,https://www.linkedin.com/company/simform/,,,https://www.youtube.com/channel/UCCY8HMCxj_RwI0xNJWVVGZg/,,,,,,frontline_communication,1,"Scam alert!!
I am providing this feedback to highlight significant structural and professional issues encountered during this contract. My experience was marred by unrealistic expectations and a lack of professional leadership from the management team, specifically Cinesta and Henry.
Incoherent Operational Constraints: The management required a ""robotic"" adherence to a script that was fundamentally flawed and illogical. Being forced to ask established business owners if they are ""accepting new clients"" was frequently met with derision from the customers, as it is a redundant and unprofessional question. This damaged my credibility and made effective communication impossible.
Professional Misconduct (Cinesta): The management style exhibited by Cinesta was consistently rude and dismissive. Her approach felt more like a ""slavery attitude"" than a professional collaboration, treating freelancers as subordinates to be owned rather than skilled partners. This created a hostile and toxic work environment.
Inadequate Quality Assurance (Henry): The Quality Assurance lead, Henry, demonstrated a significant lack of English proficiency, which is unacceptable for a role centered on auditing high-level communication. It is highly concerning that someone in such a sensitive QA position is unable to fully comprehend the nuances of the calls they are evaluating, leading to inaccurate performance assessments.
Conclusion:
I strongly advise other freelancers to exercise caution. The combination of a dysfunctional script, an overbearing and disrespectful management style from Cinesta, and the technical inadequacy of the QA lead, Henry, makes it impossible to maintain professional standards or achieve success with this organization.",,1,,Ezly — AI Communication Assistant (tone + personalization),getezly.com/home,frontline_communication,,no_email_found,,1,1,1,1,https://www.simform.com/software-development-san-francisco/,https://www.google.com/maps/place/Software+Development+Company+San+Francisco+-+Simform/data=!4m7!3m6!1s0x8085810e079939b9:0xf67a41f234506f06!8m2!3d37.7922754!4d-122.3981949!16s%2Fg%2F11fn40jvjt!19sChIJuTmZBw6BhYARBm9QNPJBevY?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,TRUE,metro_mismatch
C,19.6,san francisco,ToolJet,hello@tooljet.com,hello@tooljet.com;support@tooljet.com,gosom_scraper;gosom_scraper,,https://tooljet.com,"1160 Battery St suite 100, San Francisco, CA 94111, United States",https://www.google.com/maps/place/ToolJet/data=!4m7!3m6!1s0x80858169b1af5051:0xac83f190af06b87c!8m2!3d37.801777!4d-122.401463!16s%2Fg%2F11vdnssyqd!19sChIJUVCvsWmBhYARfLgGr5Dxg6w,https://www.facebook.com/ToolJet.io,,https://www.linkedin.com/company/tooljet,,,https://www.youtube.com/channel/UCf1p2G5Z7fPpvlBPf4l2I1w,,,,,,,0,,,,,,,,,ok,,0,0.0,0,0,https://tooljet.com/,https://www.google.com/maps/place/ToolJet/data=!4m7!3m6!1s0x80858169b1af5051:0xac83f190af06b87c!8m2!3d37.801777!4d-122.401463!16s%2Fg%2F11vdnssyqd!19sChIJUVCvsWmBhYARfLgGr5Dxg6w?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,TRUE,malformed
C,17.83,san francisco,DxMinds Technologies - Hire Software Developers | Mobile App Development Company in San Francisco,info@dxminds.com,info@dxminds.com;hello@dxminds.com;info.usa@indosakura.com,gosom_scraper;gosom_scraper;gosom_scraper,+1 748-354-6629,https://dxminds.com,"50 California St #1500, San Francisco, CA 94111, United States",https://www.google.com/maps/place/DxMinds+Technologies+-+Hire+Software+Developers+%7C+Mobile+App+Development+Company+in+San+Francisco/data=!4m7!3m6!1s0x808f970a5788675d:0xa428158733df80b9!8m2!3d37.7940487!4d-122.3973037!16s%2Fg%2F11gxjv3m76!19sChIJXWeIVwqXj4ARuYDfM4cVKKQ,https://www.facebook.com/dxminds,https://www.instagram.com/dxmindsinnovationlabs,https://www.linkedin.com/company/dxminds,,,,,,,,,deadline_missed,3,Paid 90% for app and owner did not deliver app as paid and agreed and have not provided refund either. 3 + year for an app is ridiculous. Attempted to sale project to independent developer without my knowledge. The company is a fraud.,,1,,Ezly — AI Communication Assistant (expectation-setting replies),getezly.com/home,deadline_missed;delivery_quality;hidden_subcontracting,,ok,,3,3.3,1,2,https://dxminds.com/,https://www.google.com/maps/place/DxMinds+Technologies+-+Hire+Software+Developers+%7C+Mobile+App+Development+Company+in+San+Francisco/data=!4m7!3m6!1s0x808f970a5788675d:0xa428158733df80b9!8m2!3d37.7940487!4d-122.3973037!16s%2Fg%2F11gxjv3m76!19sChIJXWeIVwqXj4ARuYDfM4cVKKQ?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,TRUE,metro_mismatch
C,16.82,san francisco,Genius Tech Development,info@geniustechdevelopment.com,info@geniustechdevelopment.com,gosom_scraper,+1 888-531-8488,http://www.geniustechdevelopment.com,"1140 Harrison St, San Francisco, CA 94103, United States",https://www.google.com/maps/place/Genius+Tech+Development/data=!4m7!3m6!1s0x808f7f3641e80ef1:0x8ed4dc0dc06efebc!8m2!3d37.7748838!4d-122.4077029!16s%2Fg%2F11ssnhx0t3!19sChIJ8Q7oQTZ_j4ARvP5uwA3c1I4,https://facebook.com/;https://www.facebook.com/geniustechdevelopment,https://instagram.com/;https://www.instagram.com/geniustechdevelopment,https://linkedin.com/,,,https://www.youtube.com/@GeniusTechDevelopment-s7n,,,,,,deadline_missed,3,"Rateros, dejaría zero estrellas si se pudiera. La membresía que compré incluye cambios en mi página web. Te presionan para que pagues la membresía después toma semanas para hacer cambios de los errores que ellos cometieron en mi página. Después te cobran más por otra membresía más cara para hacer los mismos cambios originales. No gasten su dinero aquí.","They called my business 6 months ago told me they would help promote me and i would be on more search engines and  i would get more clients and all this good stuff right! well the only thing that they did was make me a website and made me a tik tok account and a pintrest accout, i thought i was paying for  maybe adds and i was going to pop up on google first, because thats what they said they helped you be a first option but that was not true i never got clients from online or new  ones i already had my buisness account on google and i know the activity on it so yeah, i could of done a website with Ai and saved $600 bucks now they are trying to sell me the website for 2k dollars for life  this never worked for me so  be ware!",1,1,Ezly — AI Communication Assistant (expectation-setting replies),getezly.com/home,deadline_missed;delivery_quality;scope_drift,,ok,,87,4.9,3,75,http://www.geniustechdevelopment.com/,https://www.google.com/maps/place/Genius+Tech+Development/data=!4m7!3m6!1s0x808f7f3641e80ef1:0x8ed4dc0dc06efebc!8m2!3d37.7748838!4d-122.4077029!16s%2Fg%2F11ssnhx0t3!19sChIJ8Q7oQTZ_j4ARvP5uwA3c1I4?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,TRUE,metro_mismatch
D,14.43,san francisco,"JH SEO Agency | San Francisco SEO Experts - Digital Marketing, Ads Management, & Web Development",,,,+1 213-894-9220,https://jhseoagency.com/top-san-francisco-seo,"2045 15th St, San Francisco, CA 94114, United States","https://www.google.com/maps/place/JH+SEO+Agency+%7C+San+Francisco+SEO+Experts+-+Digital+Marketing,+Ads+Management,+%26+Web+Development/data=!4m7!3m6!1s0x808f7fc7f103dfcd:0xaeba7226d30d6d6!8m2!3d37.7659005!4d-122.4297148!16s%2Fg%2F11hzy8rnw8!19sChIJzd8D8cd_j4AR1tYwbSKn6wo",,,,,,,,,,,,frontline_communication,2,"My experience with Jimmy Huh's SEO services was far from satisfactory. Despite his confident pitch, the improvements in my website's ranking were negligible. The reports provided were often unclear and lacked detailed insights. For the premium price he charges, I expected better results and more professional communication. I regret choosing his services and will be looking elsewhere for my SEO needs.",,1,,Ezly — AI Communication Assistant (tone + personalization),getezly.com/home,delivery_quality;frontline_communication,,no_email_found,,22,4.8,1,22,https://jhseoagency.com/top-san-francisco-seo/,"https://www.google.com/maps/place/JH+SEO+Agency+%7C+San+Francisco+SEO+Experts+-+Digital+Marketing,+Ads+Management,+%26+Web+Development/data=!4m7!3m6!1s0x808f7fc7f103dfcd:0xaeba7226d30d6d6!8m2!3d37.7659005!4d-122.4297148!16s%2Fg%2F11hzy8rnw8!19sChIJzd8D8cd_j4AR1tYwbSKn6wo?authuser=0&hl=en&rclk=1",,FALSE,,FALSE,,0,FALSE,TRUE,metro_mismatch
D,14.04,san francisco,Lorenzo Gutierrez Digital Marketing San Francisco,,,,+1 415-851-5644,https://lorenzogutierrez.net/locations/san-francisco,"44 Montgomery St #35, San Francisco, CA 94104, United States",https://www.google.com/maps/place/Lorenzo+Gutierrez+Digital+Marketing+San+Francisco/data=!4m7!3m6!1s0x80858089d16fffff:0xbd4aa3b25c5ed3ee!8m2!3d37.7897312!4d-122.401906!16s%2Fg%2F11gglshjt8!19sChIJ__9v0YmAhYAR7tNeXLKjSr0,,,,,,,,,,,,calls_unanswered,2,"Likely a front for a scam.  Their website's Let's Encrypt SSL certificate expired several months ago back in January (and those're free to maintain!) and calling their advertised number gives me an error saying that ""the wireless customer you are calling is not available"".  If this business is so successful such that hey have over a dozen locations, why is their website failing to meet basic standards and why does their phone direct to a cell phone?

Not to mention several of the webpages on their website look absolutely atrocious.  CSS failures, likely.

RED FLAGS ABOUND.","Paid Mr. Lorenzo to write a large number of guest posts for SEO. They were written at the level of a 16 year old.  More importantly, he's working with spam websites a later found out. The posts literally HURT my website.",1,1,Ezly — AI Communication Assistant (never miss a reply),getezly.com/home,calls_unanswered;delivery_quality,,cloudflare_blocked,,26,4.7,2,25,https://lorenzogutierrez.net/locations/san-francisco/,https://www.google.com/maps/place/Lorenzo+Gutierrez+Digital+Marketing+San+Francisco/data=!4m7!3m6!1s0x80858089d16fffff:0xbd4aa3b25c5ed3ee!8m2!3d37.7897312!4d-122.401906!16s%2Fg%2F11gglshjt8!19sChIJ__9v0YmAhYAR7tNeXLKjSr0?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
